Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
1|Patrick van Aanholt|nl NED|DF|Crystal Palace|25|1990|7.9|1|0|0|3|2|0|22|14|5|0|0|0|Matches
2|Patrick van Aanholt|nl NED|DF|Sunderland|25|1990|19.8|2|0|0|11|15|6|56|46|28|0|1|0|Matches
3|Charlie Adam|sct SCO|MF|Stoke City|30|1985|16.9|7|0|0|41|26|0|86|24|17|0|0|0|Matches
4|Albert Adomah|gh GHA|"DF,FW"|Middlesbrough|28|1987|1.4|0|0|0|3|2|0|9|2|4|0|0|0|Matches
5|Adrián|es ESP|GK|West Ham|29|1987|16.0|1|0|0|0|3|0|0|0|0|0|0|0|Matches
6|Ibrahim Afellay|nl NED|"FW,MF"|Stoke City|30|1986|4.3|0|0|0|3|7|2|15|5|2|0|0|0|Matches
7|Benik Afobe|cd COD|FW|Bournemouth|23|1993|16.2|1|0|0|22|13|14|3|6|9|0|0|0|Matches
8|Sergio Agüero|ar ARG|FW|Manchester City|28|1988|26.7|4|1|0|23|34|23|18|4|14|1|0|0|Matches
9|Dan Agyei|eng ENG|"FW,MF"|Burnley|19|1997|0.3|0|0||1|||||||||Matches
10|Ola Aina|ng NGA|"DF,MF"|Chelsea|19|1996|0.3|0|0|0|0|1|0|0|0|0|0|0|0|Matches
11|Nathan Aké|nl NED|"DF,MF"|Bournemouth|21|1995|8.2|0|0|0|3|3|0|2|9|14|0|0|0|Matches
12|Nathan Aké|nl NED|"DF,MF"|Chelsea|21|1995|1.1|1|0|0|1|0|0|0|2|3|0|0|0|Matches
13|Marc Albrighton|eng ENG|"DF,FW"|Leicester City|26|1989|26.8|5|0|0|21|20|2|212|38|45|0|0|0|Matches
14|Toby Alderweireld|be BEL|DF|Tottenham|27|1989|28.9|1|0|0|9|5|0|6|26|35|0|0|0|Matches
15|Trent Alexander-Arnold|eng ENG|DF|Liverpool|17|1998|1.9|0|0|0|1|2|0|6|2|2|0|0|0|Matches
16|Joe Allen|wls WAL|MF|Stoke City|26|1990|32.6|9|0|0|29|59|0|51|63|52|1|0|0|Matches
17|Dele Alli|eng ENG|"FW,MF"|Tottenham|20|1996|33.7|4|0|0|50|76|11|22|13|40|4|0|0|Matches
18|Ryan Allsop|eng ENG|GK|Bournemouth|24|1992|1.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
19|Marcos Alonso|es ESP|"DF,MF"|Chelsea|25|1990|29.9|2|0|0|25|20|3|102|43|38|0|0|0|Matches
20|Daniel Amartey|gh GHA|"DF,MF"|Leicester City|21|1994|18.6|3|0|0|28|9|0|3|27|29|0|0|0|Matches
21|Jordi Amat|id IDN|DF|Swansea City|24|1992|15.7|5|0|0|26|5|0|0|31|23|0|2|0|Matches
22|Nordin Amrabat|ma MAR|"FW,MF"|Watford|29|1987|23.2|4|0|0|47|36|2|129|27|35|0|1|0|Matches
