Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|GA|GA90|SoTA|Saves|Save%|W|D|L|CS|CS%|PKatt|PKA|PKsv|PKm|Save%|Matches
1|Adrián|es ESP|GK|West Ham|29|1987|16|16|"1,440"|16.0|25|1.56|78|53|70.5|5|4|7|6|37.5|3|2|0|1|0.0|Matches
2|Ryan Allsop|eng ENG|GK|Bournemouth|24|1992|1|1|90|1.0|1|1.00|5|4|80.0|0|1|0|0|0.0|0|0|0|0||Matches
3|Asmir Begović|ba BIH|GK|Chelsea|29|1987|2|2|180|2.0|5|2.50|6|1|16.7|1|0|1|0|0.0|0|0|0|0||Matches
4|Artur Boruc|pl POL|GK|Bournemouth|36|1980|35|35|"3,150"|35.0|63|1.80|176|113|65.3|11|9|15|9|25.7|4|2|2|0|50.0|Matches
5|Claudio Bravo|cl CHI|GK|Manchester City|33|1983|22|22|"1,968"|21.9|26|1.19|60|34|56.7|12|5|5|5|22.7|1|0|1|0|100.0|Matches
6|Jack Butland|eng ENG|GK|Stoke City|23|1993|5|5|450|5.0|8|1.60|24|16|66.7|1|2|2|2|40.0|0|0|0|0||Matches
7|Willy Caballero|ar ARG|GK|Manchester City|34|1981|17|16|"1,452"|16.1|13|0.81|45|32|75.6|11|4|1|6|37.5|4|2|0|2|0.0|Matches
8|Joel Castro Pereira|pt POR|GK|Manchester Utd|20|1996|1|1|90|1.0|0|0.00|3|3|100.0|1|0|0|1|100.0|0|0|0|0||Matches
9|Petr Čech|cz CZE|GK|Arsenal|34|1982|35|35|"3,097"|34.4|37|1.08|150|113|81.3|22|5|7|12|34.3|9|9|0|0|0.0|Matches
10|Thibaut Courtois|be BEL|GK|Chelsea|24|1992|36|36|"3,240"|36.0|28|0.78|99|71|73.7|29|3|4|16|44.4|2|2|0|0|0.0|Matches
11|Łukasz Fabiański|pl POL|GK|Swansea City|31|1985|37|37|"3,330"|37.0|69|1.86|174|105|63.8|11|5|21|8|21.6|8|6|1|1|14.3|Matches
12|Adam Federici|au AUS|GK|Bournemouth|31|1985|2|2|180|2.0|3|1.50|8|5|62.5|1|0|1|1|50.0|1|0|0|1||Matches
13|Fraser Forster|eng ENG|GK|Southampton|28|1988|38|38|"3,420"|38.0|48|1.26|130|82|67.7|12|10|16|14|36.8|9|6|1|2|14.3|Matches
14|Ben Foster|eng ENG|GK|West Brom|33|1983|38|38|"3,420"|38.0|51|1.34|160|109|70.0|12|9|17|6|15.8|3|3|0|0|0.0|Matches
15|David de Gea|es ESP|GK|Manchester Utd|25|1990|35|35|"3,150"|35.0|29|0.83|103|74|75.7|16|14|5|14|40.0|4|4|0|0|0.0|Matches
16|Shay Given|ie IRL|GK|Stoke City|40|1976|5|5|450|5.0|14|2.80|33|19|60.6|0|1|4|0|0.0|2|1|1|0|50.0|Matches
17|Heurelho Gomes|br BRA|GK|Watford|35|1981|38|38|"3,337"|37.1|64|1.73|177|113|65.5|11|7|19|6|15.8|4|3|1|0|25.0|Matches
18|Lee Grant|eng ENG|GK|Stoke City|33|1983|28|28|"2,520"|28.0|34|1.21|123|89|72.4|10|8|10|9|32.1|0|0|0|0||Matches
19|Brad Guzan|us USA|GK|Middlesbrough|31|1984|10|10|900|10.0|17|1.70|53|36|69.8|2|3|5|3|30.0|2|1|0|1|0.0|Matches
20|Tom Heaton|eng ENG|GK|Burnley|30|1986|35|35|"3,150"|35.0|48|1.37|189|141|76.7|11|7|17|10|28.6|5|4|1|0|20.0|Matches
21|Wayne Hennessey|wls WAL|GK|Crystal Palace|29|1987|29|29|"2,610"|29.0|46|1.59|133|87|66.9|9|3|17|7|24.1|2|2|0|0|0.0|Matches
22|Eldin Jakupović|ch SUI|GK|Hull City|31|1984|22|22|"1,980"|22.0|36|1.64|107|71|70.1|8|4|10|5|22.7|7|4|2|1|33.3|Matches
23|Loris Karius|de GER|GK|Liverpool|23|1993|10|10|900|10.0|12|1.20|32|20|65.6|6|3|1|3|30.0|1|1|0|0|0.0|Matches
24|Hugo Lloris|fr FRA|GK|Tottenham|29|1986|34|34|"3,004"|33.4|24|0.72|101|77|77.2|24|5|4|15|44.1|1|1|0|0|0.0|Matches
25|Steve Mandanda|fr FRA|GK|Crystal Palace|31|1985|9|9|810|9.0|17|1.89|43|26|60.5|3|2|4|0|0.0|0|0|0|0||Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|GA|GA90|SoTA|Saves|Save%|W|D|L|CS|CS%|PKatt|PKA|PKsv|PKm|Save%|Matches
26|Vito Mannone|it ITA|GK|Sunderland|28|1988|9|9|810|9.0|19|2.11|59|40|71.2|1|2|6|2|22.2|2|2|0|0|0.0|Matches
27|David Marshall|sct SCO|GK|Hull City|31|1985|16|16|"1,440"|16.0|44|2.75|107|63|65.4|1|3|12|0|0.0|7|7|0|0|0.0|Matches
28|Emiliano Martínez|ar ARG|GK|Arsenal|23|1992|2|2|180|2.0|3|1.50|8|5|75.0|1|0|1|1|50.0|1|1|0|0|0.0|Matches
29|Simon Mignolet|be BEL|GK|Liverpool|28|1988|28|28|"2,520"|28.0|30|1.07|82|52|65.9|16|7|5|9|32.1|4|2|2|0|50.0|Matches
30|Kristoffer Nordfeldt|se SWE|GK|Swansea City|27|1989|1|1|90|1.0|1|1.00|5|4|80.0|1|0|0|0|0.0|0|0|0|0||Matches
31|David Ospina|co COL|GK|Arsenal|27|1988|2|1|143|1.6|4|2.52|9|5|55.6|0|1|1|0|0.0|0|0|0|0||Matches
32|Costel Pantilimon|ro ROU|GK|Watford|29|1987|2|0|83|0.9|4|4.34|10|6|60.0|0|0|1|0||0|0|0|0||Matches
33|Jordan Pickford|eng ENG|GK|Sunderland|22|1994|29|29|"2,610"|29.0|50|1.72|189|139|74.6|5|4|20|4|13.8|2|2|0|0|0.0|Matches
34|Darren Randolph|ie IRL|GK|West Ham|29|1987|22|22|"1,980"|22.0|39|1.77|104|65|65.4|7|5|10|4|18.2|5|3|1|1|25.0|Matches
