Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
1|Patrick van Aanholt|nl NED|DF|Crystal Palace|25|1990|7.9|2|10|3|30.0|1.26|0.38|0.20|0.67||0|0|Matches
2|Patrick van Aanholt|nl NED|DF|Sunderland|25|1990|19.8|3|24|10|41.7|1.21|0.50|0.13|0.30||0|0|Matches
3|Charlie Adam|sct SCO|MF|Stoke City|30|1985|16.9|1|40|11|27.5|2.37|0.65|0.00|0.00||1|1|Matches
4|Albert Adomah|gh GHA|"DF,FW"|Middlesbrough|28|1987|1.4|0|4|0|0.0|2.95|0.00|0.00|||0|0|Matches
5|Adrián|es ESP|GK|West Ham|29|1987|16.0|0|0|0||0.00|0.00||||0|0|Matches
6|Ibrahim Afellay|nl NED|"FW,MF"|Stoke City|30|1986|4.3|0|6|1|16.7|1.41|0.23|0.00|0.00||0|0|Matches
7|Benik Afobe|cd COD|FW|Bournemouth|23|1993|16.2|6|39|18|46.2|2.40|1.11|0.15|0.33||0|1|Matches
8|Sergio Agüero|ar ARG|FW|Manchester City|28|1988|26.7|20|139|54|38.8|5.21|2.02|0.12|0.30||4|5|Matches
9|Dan Agyei|eng ENG|"FW,MF"|Burnley|19|1997|0.3|0||0|||0.00||||0|0|Matches
10|Ola Aina|ng NGA|"DF,MF"|Chelsea|19|1996|0.3|0|1|1|100.0|3.46|3.46|0.00|0.00||0|0|Matches
11|Nathan Aké|nl NED|"DF,MF"|Bournemouth|21|1995|8.2|3|6|4|66.7|0.73|0.49|0.50|0.75||0|0|Matches
12|Nathan Aké|nl NED|"DF,MF"|Chelsea|21|1995|1.1|0|1|0|0.0|0.91|0.00|0.00|||0|0|Matches
13|Marc Albrighton|eng ENG|"DF,FW"|Leicester City|26|1989|26.8|2|21|7|33.3|0.78|0.26|0.10|0.29||0|0|Matches
14|Toby Alderweireld|be BEL|DF|Tottenham|27|1989|28.9|1|28|9|32.1|0.97|0.31|0.04|0.11||0|0|Matches
15|Trent Alexander-Arnold|eng ENG|DF|Liverpool|17|1998|1.9|0|3|2|66.7|1.62|1.08|0.00|0.00||0|0|Matches
16|Joe Allen|wls WAL|MF|Stoke City|26|1990|32.6|6|40|17|42.5|1.23|0.52|0.15|0.35||0|0|Matches
17|Dele Alli|eng ENG|"FW,MF"|Tottenham|20|1996|33.7|18|94|45|47.9|2.79|1.33|0.18|0.38||1|1|Matches
18|Ryan Allsop|eng ENG|GK|Bournemouth|24|1992|1.0|0|0|0||0.00|0.00||||0|0|Matches
19|Marcos Alonso|es ESP|"DF,MF"|Chelsea|25|1990|29.9|6|46|17|37.0|1.54|0.57|0.13|0.35||0|0|Matches
20|Daniel Amartey|gh GHA|"DF,MF"|Leicester City|21|1994|18.6|1|14|5|35.7|0.75|0.27|0.07|0.20||0|0|Matches
21|Jordi Amat|id IDN|DF|Swansea City|24|1992|15.7|0|7|3|42.9|0.45|0.19|0.00|0.00||0|0|Matches
22|Nordin Amrabat|ma MAR|"FW,MF"|Watford|29|1987|23.2|0|29|6|20.7|1.25|0.26|0.00|0.00||0|0|Matches
23|Victor Anichebe|ng NGA|FW|Sunderland|28|1988|13.5|3|30|9|30.0|2.21|0.66|0.10|0.33||0|0|Matches
24|Michail Antonio|jm JAM|"FW,MF"|West Ham|26|1990|27.0|9|77|23|29.9|2.85|0.85|0.12|0.39||0|0|Matches
25|Ikechi Anya|sct SCO|"FW,MF"|Watford|28|1988|0.1|0|0|0||0.00|0.00||||0|0|Matches
26|Álvaro Arbeloa|es ESP|DF|West Ham|33|1983|2.9|0|1|0|0.0|0.35|0.00|0.00|||0|0|Matches
27|Scott Arfield|ca CAN|MF|Burnley|27|1988|23.4|1|44|7|15.9|1.88|0.30|0.02|0.14||0|0|Matches
28|Marko Arnautović|at AUT|"FW,MF"|Stoke City|27|1989|30.2|6|60|19|31.7|1.99|0.63|0.10|0.32||0|1|Matches
29|Harry Arter|ie IRL|MF|Bournemouth|26|1989|32.9|1|54|11|20.4|1.64|0.33|0.02|0.09||0|1|Matches
30|Joel Asoro|se SWE|"FW,MF"|Sunderland|17|1999|0.1|0|0|0||0.00|0.00||||0|0|Matches
31|Charlie Austin|eng ENG|FW|Southampton|27|1989|10.4|6|37|17|45.9|3.57|1.64|0.11|0.24||2|2|Matches
32|Daniel Ayala|es ESP|DF|Middlesbrough|25|1990|10.2|1|10|4|40.0|0.98|0.39|0.10|0.25||0|0|Matches
33|André Ayew|gh GHA|"FW,MF"|West Ham|26|1989|16.0|6|34|13|38.2|2.13|0.81|0.18|0.46||0|0|Matches
34|Jordan Ayew|gh GHA|"FW,MF"|Swansea City|24|1991|9.6|1|12|6|50.0|1.25|0.62|0.08|0.17||0|0|Matches
35|César Azpilicueta|es ESP|"DF,MF"|Chelsea|26|1989|38.0|1|18|6|33.3|0.47|0.16|0.06|0.17||0|0|Matches
36|Eric Bailly|ci CIV|DF|Manchester Utd|22|1994|22.9|0|6|1|16.7|0.26|0.04|0.00|0.00||0|0|Matches
37|Leighton Baines|eng ENG|DF|Everton|31|1984|31.3|2|14|5|35.7|0.45|0.16|0.00|0.00||2|3|Matches
38|Patrick Bamford|eng ENG|"FW,MF"|Middlesbrough|22|1993|3.2|1|6|3|50.0|1.88|0.94|0.17|0.33||0|0|Matches
39|Patrick Bamford|eng ENG|"FW,MF"|Burnley|22|1993|0.4|0|1|0|0.0|2.31|0.00|0.00|||0|0|Matches
40|Phil Bardsley|sct SCO|DF|Stoke City|31|1985|13.0|0|11|2|18.2|0.85|0.15|0.00|0.00||0|0|Matches
41|Ross Barkley|eng ENG|MF|Everton|22|1993|32.2|5|89|30|33.7|2.76|0.93|0.06|0.17||0|0|Matches
42|Ashley Barnes|eng ENG|"FW,MF"|Burnley|26|1989|19.7|6|44|19|43.2|2.23|0.96|0.09|0.21||2|2|Matches
