|Playing Time|Performance|Per 90 Minutes|
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
1|Patrick van Aanholt|nl NED|DF|Crystal Palace|25|1990|11|8|714|7.9|2|0|2|2|0|0|1|0|0.25|0.00|0.25|0.25|0.25|Matches
2|Patrick van Aanholt|nl NED|DF|Sunderland|25|1990|21|20|"1,784"|19.8|3|1|4|3|0|0|2|0|0.15|0.05|0.20|0.15|0.20|Matches
3|Charlie Adam|sct SCO|MF|Stoke City|30|1985|24|17|"1,517"|16.9|1|3|4|0|1|1|7|0|0.06|0.18|0.24|0.00|0.18|Matches
4|Albert Adomah|gh GHA|"DF,FW"|Middlesbrough|28|1987|2|1|122|1.4|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
5|Adrián|es ESP|GK|West Ham|29|1987|16|16|"1,440"|16.0|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
6|Ibrahim Afellay|nl NED|"FW,MF"|Stoke City|30|1986|12|3|384|4.3|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
7|Benik Afobe|cd COD|FW|Bournemouth|23|1993|31|14|"1,461"|16.2|6|3|9|6|0|1|1|0|0.37|0.18|0.55|0.37|0.55|Matches
8|Sergio Agüero|ar ARG|FW|Manchester City|28|1988|31|25|"2,403"|26.7|20|4|24|16|4|5|4|1|0.75|0.15|0.90|0.60|0.75|Matches
9|Dan Agyei|eng ENG|"FW,MF"|Burnley|19|1997|3|0|25|0.3|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
10|Ola Aina|ng NGA|"DF,MF"|Chelsea|19|1996|3|0|26|0.3|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
11|Nathan Aké|nl NED|"DF,MF"|Bournemouth|21|1995|10|8|735|8.2|3|0|3|3|0|0|0|0|0.37|0.00|0.37|0.37|0.37|Matches
12|Nathan Aké|nl NED|"DF,MF"|Chelsea|21|1995|2|1|99|1.1|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
13|Marc Albrighton|eng ENG|"DF,FW"|Leicester City|26|1989|33|29|"2,411"|26.8|2|6|8|2|0|0|5|0|0.07|0.22|0.30|0.07|0.30|Matches
14|Toby Alderweireld|be BEL|DF|Tottenham|27|1989|30|30|"2,601"|28.9|1|0|1|1|0|0|1|0|0.03|0.00|0.03|0.03|0.03|Matches
15|Trent Alexander-Arnold|eng ENG|DF|Liverpool|17|1998|7|2|167|1.9|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
16|Joe Allen|wls WAL|MF|Stoke City|26|1990|36|34|"2,930"|32.6|6|2|8|6|0|0|9|0|0.18|0.06|0.25|0.18|0.25|Matches
17|Dele Alli|eng ENG|"FW,MF"|Tottenham|20|1996|37|35|"3,034"|33.7|18|7|25|17|1|1|4|0|0.53|0.21|0.74|0.50|0.71|Matches
18|Ryan Allsop|eng ENG|GK|Bournemouth|24|1992|1|1|90|1.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
19|Marcos Alonso|es ESP|"DF,MF"|Chelsea|25|1990|31|30|"2,693"|29.9|6|3|9|6|0|0|2|0|0.20|0.10|0.30|0.20|0.30|Matches
20|Daniel Amartey|gh GHA|"DF,MF"|Leicester City|21|1994|24|17|"1,673"|18.6|1|1|2|1|0|0|3|0|0.05|0.05|0.11|0.05|0.11|Matches
21|Jordi Amat|id IDN|DF|Swansea City|24|1992|17|15|"1,409"|15.7|0|0|0|0|0|0|5|0|0.00|0.00|0.00|0.00|0.00|Matches
22|Nordin Amrabat|ma MAR|"FW,MF"|Watford|29|1987|29|25|"2,091"|23.2|0|3|3|0|0|0|4|0|0.00|0.13|0.13|0.00|0.13|Matches
23|Victor Anichebe|ng NGA|FW|Sunderland|28|1988|18|14|"1,219"|13.5|3|0|3|3|0|0|2|0|0.22|0.00|0.22|0.22|0.22|Matches
24|Michail Antonio|jm JAM|"FW,MF"|West Ham|26|1990|29|29|"2,433"|27.0|9|3|12|9|0|0|6|2|0.33|0.11|0.44|0.33|0.44|Matches
25|Ikechi Anya|sct SCO|"FW,MF"|Watford|28|1988|1|0|10|0.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
26|Álvaro Arbeloa|es ESP|DF|West Ham|33|1983|3|1|258|2.9|0|0|0|0|0|0|3|0|0.00|0.00|0.00|0.00|0.00|Matches
27|Scott Arfield|ca CAN|MF|Burnley|27|1988|31|23|"2,102"|23.4|1|1|2|1|0|0|3|0|0.04|0.04|0.09|0.04|0.09|Matches
